title,author,length
Good to Great,Jim Collins,Length: 10 hrs and 1 min
Six of Crows,Leigh Bardugo,Length: 15 hrs and 4 mins
Eragon,Christopher Paolini,Length: 16 hrs and 22 mins
Twisted Games,Ana Huang,Length: 13 hrs and 14 mins
Defiance of the Fall 6,"TheFirstDefier,JF Brink",Length: 23 hrs and 1 min
The Never King,Nikki St. Crowe,Length: 4 hrs and 35 mins
Why We Sleep,Matthew Walker,Length: 13 hrs and 52 mins
Black Hamptons,"Carl Weber,La Jill Hunt",Length: 10 hrs and 23 mins
Slaughterhouse-Five,Kurt Vonnegut,Length: 5 hrs and 13 mins
Nona the Ninth,Tamsyn Muir,Length: 17 hrs and 46 mins
Inclusion on Purpose,"Ruchika Tulshyan,Ijeoma Oluo - foreword",Length: 8 hrs and 42 mins
Scarred,Emily McIntire,Length: 10 hrs and 38 mins
Freezing Order,Bill Browder,Length: 10 hrs and 29 mins
Resilient,John Eldredge,Length: 6 hrs and 41 mins
Centers of Gravity,Marko Kloos,Length: 9 hrs and 47 mins
The Final Equinox,Andrew Mayne,Length: 10 hrs and 9 mins
Re: Trailer Trash,FortySixtyFour,Length: 25 hrs and 35 mins
Melody of Flame,Tricia O'Malley,Length: 6 hrs and 44 mins
Pitch Anything,Oren Klaff,Length: 6 hrs and 14 mins
Obsession,"Meg Anne,K. Loraine",Length: 9 hrs and 7 mins
Put Your Ass Where Your Heart Wants to Be,Steven Pressfield,Length: 1 hr and 55 mins
12 Notes,Quincy Jones,Length: 5 hrs and 7 mins
Nation of Victims,Vivek Ramaswamy,Length: 7 hrs and 42 mins
Solito,Javier Zamora,Length: 17 hrs and 8 mins
The Marlow Murder Club,Robert Thorogood,Length: 9 hrs and 47 mins
Marple: Twelve New Mysteries,"Agatha Christie,Naomi Alderman,Leigh Bardugo,Alyssa Cole,Lucy Foley,Elly Griffiths,Natalie Haynes,Jean Kwok,Val McDermid,Karen M. McManus,Dreda Say Mitchell,Kate Mosse,Ruth Ware",Length: 11 hrs and 28 mins
Monroe Doctrine: Volume V,"James Rosone,Alex Aaronson",Length: 13 hrs and 40 mins
Empath and Narcissist,Pamela Stewart,Length: 21 hrs and 27 mins
Back to the Garden,Laurie R. King,Length: 11 hrs and 9 mins
Jesus' Alternative Plan,Richard Rohr OFM,Length: 7 hrs and 57 mins
The Warlock 3,Dante King,Length: 10 hrs and 27 mins
Kiwi Sin,Rosalind James,Length: 14 hrs and 37 mins
Renegade Mage,Inadvisably Compelled,Length: 12 hrs and 20 mins
Winning the War on Worry,Louie Giglio,Length: 2 hrs and 14 mins
The Tyrant Alpha's Rejected Mate,Cate C. Wells,Length: 12 hrs and 23 mins
Battlefield of the Mind,Joyce Meyer,Length: 6 hrs and 37 mins
The Warlock 3,Dante King,Length: 10 hrs and 27 mins
The Lucky One,Jessica Payne,Length: 11 hrs and 1 min
Born a Crime,Trevor Noah,Length: 8 hrs and 44 mins
Sapiens,Yuval Noah Harari,Length: 15 hrs and 18 mins
The Hitchhiker's Guide to the Galaxy,Douglas Adams,Length: 5 hrs and 51 mins
Shoe Dog,Phil Knight,Length: 13 hrs and 21 mins
Quiet,Susan Cain,Length: 10 hrs and 39 mins
Uncharted Waters,Sally Hepworth,Length: 1 hr and 44 mins
The Rising Tide,Ann Cleeves,Length: 11 hrs and 28 mins
Monroe Doctrine: Volume V,"James Rosone,Alex Aaronson",Length: 13 hrs and 40 mins
The Choice,Nora Roberts,Length: 15 hrs and 18 mins
Lesser Evil,Penelope Sky,Length: 8 hrs
How to Win Friends & Influence People,Dale Carnegie,Length: 7 hrs and 15 mins
The Alchemist,Paulo Coelho,Length: 4 hrs
The Untethered Soul,Michael A. Singer,Length: 6 hrs and 11 mins
Savage Bonds,J Bree,Length: 10 hrs and 30 mins
Grit,Angela Duckworth,Length: 9 hrs and 22 mins
The Millionaire Next Door,"Thomas J. Stanley Ph.D.,William D. Danko Ph.D.",Length: 8 hrs and 16 mins
"Guns, Germs and Steel",Jared Diamond,Length: 16 hrs and 20 mins
The Metaverse,Matthew Ball,Length: 13 hrs and 38 mins
Autodisciplina diaria y Procrastinación 2 audiolibros en 1 [Daily Self-Discipline and Procrastination 2 Audiobooks in 1],Happy Academy,Length: 4 hrs and 26 mins
Lead Like It Matters,Craig Groeschel,Length: 7 hrs and 35 mins
Allow Me to Retort,Elie Mystal,Length: 8 hrs and 37 mins
Sanando la herida materna [Healing the Maternal Wound],Aura Medina de Wit,Length: 10 hrs and 35 mins
Shogun,James Clavell,Length: 53 hrs and 33 mins
The Outsiders,S. E. Hinton,Length: 5 hrs and 8 mins
Getting Things Done,David Allen,Length: 10 hrs and 23 mins
Who Killed Jane Stanford?,Richard White,Length: 11 hrs and 28 mins
Clive Cussler's Hellburner,Mike Maden,Length: 12 hrs and 52 mins
Holding the Line,Geoffrey Berman,Length: 9 hrs and 33 mins
Outliers,Malcolm Gladwell,Length: 7 hrs and 18 mins
Fahrenheit 451,Ray Bradbury,Length: 5 hrs and 1 min
Three Small Bones,Jennifer Chase,Length: 9 hrs and 48 mins
Other Birds,Sarah Addison Allen,Length: 8 hrs and 51 mins
The Dungeon Phoenix,Konrad Ryan,Length: 17 hrs and 9 mins
Personal,Alexandria House,Length: 6 hrs and 23 mins
Death Down the Aisle,Verity Bright,Length: 8 hrs and 38 mins
The Marriage Portrait,Maggie O'Farrell,Length: 13 hrs and 21 mins
Killers of a Certain Age,Deanna Raybourn,Length: 10 hrs and 15 mins
Fly Girl,Ann Hood,Length: 8 hrs and 11 mins
Fly Girl,Ann Hood,Length: 8 hrs and 11 mins
Profiles in Ignorance,Andy Borowitz,Length: 8 hrs and 51 mins
How to Invest,David M. Rubenstein,Length: 17 hrs and 13 mins
The Chaos Machine,Max Fisher,Length: 15 hrs and 55 mins
Upgrade,Blake Crouch,Length: 9 hrs and 47 mins
The 21 Irrefutable Laws of Leadership: 25th Anniversary,John C. Maxwell,Length: 9 hrs and 32 mins
The ONE Thing,"Gary Keller,Jay Papasan",Length: 5 hrs and 28 mins
Of Mice and Men,John Steinbeck,Length: 3 hrs and 11 mins
The Good Girl,Mary Kubica,Length: 10 hrs and 38 mins
The Lost Nebula,Vaughn Heppner,Length: 14 hrs and 4 mins
The Bodies of Others,Naomi Wolf,Length: 9 hrs and 8 mins
That Time I Got Drunk and Yeeted a Love Potion at a Werewolf,Kimberly Lemming,Length: 6 hrs and 50 mins
The Montessori Baby,"Simone Davies,Junnifa Uzodike",Length: 10 hrs and 51 mins
It Takes a Woman,"Smartypants Romance,Piper Sheldon",Length: 9 hrs and 16 mins
Demon's Mark,Nora Ash,Length: 10 hrs and 59 mins
Radical Acceptance,Tara Brach,Length: 12 hrs and 15 mins
Where the Sky Begins,Rhys Bowen,Length: 11 hrs and 11 mins
Personal,Alexandria House,Length: 6 hrs and 23 mins
Lady Secrets,"Keltie Knight,Jac Vanek,Becca Tobin",Length: 7 hrs and 10 mins
Vicious Oath,Zoe Blake,Length: 7 hrs and 32 mins
We Can Never Leave This Place,Eric Larocca,Length: 2 hrs and 42 mins
Preparing for the Future,Jeremy Eaton,Length: 12 hrs and 1 min
River of Shadows,Karina Halle,Length: 9 hrs and 14 mins
Fluke and the Frontier Farce,Sam Burns,Length: 6 hrs and 5 mins
Confronting Jesus,Rebecca McLaughlin,Length: 6 hrs and 3 mins
Agatha Christie,Lucy Worsley,Length: 13 hrs and 46 mins
Healing Hazel,Jennifer Moore,Length: 8 hrs and 6 mins
Crucial Conversations (Third Edition),"Joseph Grenny,Kerry Patterson,Ron McMillan,Al Switzler,Emily Gregory",Length: 7 hrs and 45 mins
Into the Fire,"James Rosone,T.C. Manning",Length: 13 hrs and 51 mins
Slenderman,Kathleen Hale,Length: 9 hrs and 31 mins
Roland,N.C. Reed,Length: 14 hrs and 32 mins
Mindful Self-Discipline,Giovanni Dienstmann,Length: 13 hrs and 45 mins
"Girl, Forgotten",Karin Slaughter,Length: 15 hrs and 45 mins
The Sunken Chase,Cap Daniels,Length: 8 hrs and 54 mins
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,Length: 13 hrs and 52 mins
Invent,Dakota Krout,Length: 12 hrs and 14 mins
Unfiltered,Rachel Pedersen,Length: 6 hrs and 10 mins
The Ink Black Heart,Robert Galbraith,Length: 32 hrs and 42 mins
Changing the Game,Bella Matthews,Length: 8 hrs and 26 mins
Bastille vs. the Evil Librarians,"Brandon Sanderson,Janci Patterson",Length: 4 hrs and 52 mins
"Clockwork, Revised and Expanded","Mike Michalowicz,Gino Wickman - foreword",Length: 8 hrs and 54 mins
Ca$hvertising,Drew Eric Whitman,Length: 6 hrs and 17 mins
Akata Woman,Nnedi Okorafor,Length: 13 hrs and 17 mins
The Score Takes Care of Itself,"Bill Walsh,Craig Walsh,Steve Jamison",Length: 10 hrs and 48 mins
The Rise and Fall of the Third Reich,William L. Shirer,Length: 57 hrs and 11 mins
The Masculine in Relationship,GS Youngblood,Length: 7 hrs and 47 mins
Happy Days,Gabrielle Bernstein,Length: 6 hrs and 11 mins
Changing the Game,Bella Matthews,Length: 8 hrs and 26 mins
Archer's Voice,Mia Sheridan,Length: 11 hrs and 7 mins
The Personal MBA: Master the Art of Business,Josh Kaufman,Length: 15 hrs and 25 mins
The Great Gatsby,F. Scott Fitzgerald,Length: 4 hrs and 49 mins
Profit First,Mike Michalowicz,Length: 8 hrs and 35 mins
The Mountain Is You,Brianna Wiest,Length: 5 hrs and 44 mins
Act of Oblivion,Robert Harris,Length: 15 hrs and 41 mins
Bitter Sweet Heart,"H. Hunting,Helena Hunting",Length: 11 hrs and 42 mins
Walking in My Joy,Jenifer Lewis,Length: 7 hrs and 27 mins
All the Missing Girls,Megan Miranda,Length: 10 hrs and 5 mins
On Killing,Lt. Col. Dave Grossman,Length: 10 hrs and 23 mins
Invisible Man,Ralph Ellison,Length: 18 hrs and 36 mins
The Day the World Came to Town,Jim DeFede,Length: 6 hrs and 28 mins
Conversations with Friends,Sally Rooney,Length: 8 hrs and 21 mins
Invisible Man,Ralph Ellison,Length: 18 hrs and 36 mins
The Day the World Came to Town,Jim DeFede,Length: 6 hrs and 28 mins
Number the Stars,Lois Lowry,Length: 2 hrs and 45 mins
"The China Study, Revised and Expanded Edition","T. Colin Campbell PhD,Thomas M. Campbell II MD",Length: 18 hrs and 2 mins
Heartless Sky,"Caroline Peckham,Susanne Valenti",Length: 30 hrs and 10 mins
One True Loves,Taylor Jenkins Reid,Length: 8 hrs and 5 mins
A Little Life,Hanya Yanagihara,Length: 32 hrs and 51 mins
Meet Me There,K.M. Neuhold,Length: 7 hrs and 9 mins
The Poisonwood Bible,Barbara Kingsolver,Length: 15 hrs and 34 mins
The Fisherman,John Langan,Length: 11 hrs and 27 mins
Unlock Your Potential,Jeff Lerner,Length: 12 hrs and 42 mins
Survival of the Richest,Douglas Rushkoff,Length: 6 hrs and 18 mins
The Monkey Wrench Gang,Edward Abbey,Length: 16 hrs and 41 mins
Grandma Gatewood's Walk,Ben Montgomery,Length: 7 hrs and 54 mins
Salt to the Sea,Ruta Sepetys,Length: 8 hrs and 47 mins
Love's Executioner,Irvin D. Yalom,Length: 10 hrs and 57 mins
Left of Bang,"Patrick Van Horne,Jason A. Riley",Length: 5 hrs and 57 mins
Solve for Happy,Mo Gawdat,Length: 11 hrs and 12 mins
A Land Remembered,Patrick D. Smith,Length: 14 hrs and 59 mins
March,Geraldine Brooks,Length: 10 hrs and 19 mins
"The Great Game of Business, Expanded and Updated","Jack Stack,Bo Burlingham",Length: 7 hrs and 7 mins
And Then There Were None,Agatha Christie,Length: 6 hrs and 1 min
Nonviolent Communication,Marshall Rosenberg PhD,Length: 5 hrs and 9 mins
The Giver,Lois Lowry,Length: 4 hrs and 49 mins
One Second After,William R. Forstchen,Length: 13 hrs and 17 mins
Red Notice,Bill Browder,Length: 14 hrs and 7 mins
Secrets of the Millionaire Mind,T. Harv Eker,Length: 5 hrs and 10 mins
The Lean Startup,Eric Ries,Length: 8 hrs and 38 mins
The Prince,Niccolo Machiavelli,Length: 4 hrs and 47 mins
Between the World and Me,Ta-Nehisi Coates,Length: 3 hrs and 35 mins
The Bell Jar,Sylvia Plath,Length: 7 hrs and 24 mins
Down the Rabbit Hole,Holly Madison,Length: 10 hrs and 51 mins
Their Eyes Were Watching God,Zora Neale Hurston,Length: 6 hrs and 44 mins
The Seat of the Soul,Gary Zukav,Length: 10 hrs and 12 mins
Freakonomics,"Steven D. Levitt,Stephen J. Dubner",Length: 7 hrs and 51 mins
The Guns of August,Barbara W. Tuchman,Length: 19 hrs and 9 mins
Why Does He Do That?,Lundy Bancroft,Length: 13 hrs and 32 mins
The Power of Moments,"Chip Heath,Dan Heath",Length: 6 hrs and 24 mins
A Thousand Splendid Suns,Khaled Hosseini,Length: 11 hrs and 43 mins
Undaunted Courage,Stephen E. Ambrose,Length: 21 hrs and 40 mins
Fear and Loathing in Las Vegas,Hunter S. Thompson,Length: 6 hrs
What Got You Here Won't Get You There,"Marshall Goldsmith,Mark Reiter",Length: 9 hrs and 39 mins
The Celestine Prophecy,James Redfield,Length: 8 hrs and 27 mins
Made to Stick,"Chip Heath,Dan Heath",Length: 8 hrs and 37 mins
Knowing God,J. I. Packer,Length: 10 hrs
Flow,Mihaly Csikszentmihalyi Ph.D.,Length: 5 hrs and 31 mins
Unrestricted Warfare,"Qiao Liang,Wang Xiangsui",Length: 7 hrs and 32 mins
Surviving My Birthright,"Casey Hammer,Heather McDonald - foreword",Length: 7 hrs and 36 mins
Our Missing Hearts,Celeste Ng,Length: 9 hrs and 51 mins
The Hunted,Jeff Wheeler,Length: 9 hrs and 2 mins
